Drug1_ID,Drug2_ID,Y,Neg samples
DB00742,DB00740,0,DB01129
DB00472,DB00567,1,DB00303
DB00445,DB00356,0,DB00775
DB01203,DB00459,0,DB00697
DB00577,DB01043,0,DB00238
DB00906,DB01044,0,DB00880
DB00519,DB00608,0,DB00752
DB00402,DB00912,1,DB00841
DB00704,DB01022,0,DB00371
DB00482,DB00273,1,DB01060
DB00580,DB00320,0,DB00695
DB00701,DB00773,0,DB00542
DB00993,DB00863,1,DB00724
DB00218,DB00836,1,DB05271
DB01076,DB00741,1,DB00763
DB00250,DB01039,1,DB00475
DB00530,DB00230,1,DB00270
DB00780,DB00605,0,DB00184
DB00439,DB00543,0,DB01029
DB00196,DB00315,1,DB01205
DB00882,DB01072,0,DB00625
DB01044,DB00783,1,DB00204
DB01248,DB00200,0,DB00836
DB01195,DB00377,0,DB00442
DB00742,DB00860,1,DB00570
DB00577,DB00461,1,DB00809
DB00659,DB01205,0,DB00958
DB00567,DB00863,1,DB00784
DB00334,DB01219,1,DB00248
DB00542,DB00186,1,DB00990
DB00796,DB01101,1,DB00231
DB00438,DB00859,0,DB00381
DB01043,DB01194,0,DB00198
DB00477,DB00485,0,DB00881
DB00533,DB00196,1,DB01172
DB00909,DB00421,1,DB00423
DB00209,DB00328,0,DB00747
DB00307,DB00879,0,DB00441
DB00608,DB00675,0,DB01273
DB00335,DB01037,0,DB00398
DB01062,DB00584,1,DB00177
DB01410,DB00712,0,DB01263
DB00395,DB01609,0,DB00425
DB00158,DB01067,1,DB01224
DB00490,DB00753,0,DB00958
DB01327,DB00951,1,DB00555
DB01140,DB00468,1,DB01189
DB00704,DB01216,0,DB01291
DB00196,DB00611,1,DB00740
DB00303,DB00273,0,DB00673
DB00649,DB00393,0,DB00252
DB00601,DB00493,1,DB01151
DB00697,DB00619,0,DB00523
DB00363,DB00381,1,DB01193
DB00373,DB00966,1,DB00708
DB00379,DB00264,1,DB01204
DB00415,DB00678,0,DB00710
DB00207,DB00178,1,DB00214
DB00742,DB01337,1,DB01238
DB00191,DB00641,1,DB00191
DB00243,DB00860,0,DB01189
DB01155,DB00503,0,DB00966
DB00603,DB00460,0,DB00990
DB00873,DB00656,0,DB00811
DB01211,DB00912,1,DB00350
DB01240,DB00934,0,DB01104
DB00841,DB00284,0,DB00451
DB00543,DB00881,0,DB01077
DB01005,DB01029,1,DB00356
DB00953,DB00969,0,DB00497
DB00307,DB00783,0,DB00186
DB00424,DB00860,1,DB01194
DB00250,DB00278,0,DB00454
DB00252,DB00230,1,DB00918
DB00455,DB01005,1,DB00413
DB00770,DB00584,1,DB00819
DB00654,DB00494,1,DB00419
DB00426,DB01114,0,DB00798
DB00353,DB04441,0,DB01005
DB00633,DB00881,0,DB00582
DB00328,DB00457,0,DB01589
DB00351,DB01041,1,DB00211
DB01327,DB00836,1,DB00968
DB00533,DB00843,1,DB01044
DB00338,DB00215,1,DB00734
DB00297,DB00451,1,DB00809
DB01337,DB00741,1,DB00216
DB00563,DB00973,1,DB00377
DB01204,DB00489,0,DB00529
DB00621,DB00909,0,DB00479
DB00472,DB00361,0,DB00454
DB00710,DB00661,1,DB00438
DB01050,DB01008,0,DB00762
DB00844,DB01142,1,DB01203
DB00924,DB00158,1,DB01609
DB00784,DB01611,0,DB05271
DB00502,DB01331,0,DB00438
DB01142,DB00904,1,DB00623
DB00853,DB00915,0,DB00586
DB00883,DB01186,0,DB00459
DB00413,DB00776,1,DB00593
DB01030,DB00758,0,DB00773
DB01062,DB00468,1,DB00841
DB00701,DB00972,0,DB00986
DB00181,DB00924,1,DB00439
DB00231,DB00741,1,DB00757
DB01127,DB01128,0,DB00757
DB00762,DB01083,0,DB00741
DB01019,DB00153,0,DB00862
DB01337,DB01022,0,DB00881
DB00358,DB01260,0,DB00590
DB00582,DB00209,0,DB00303
DB00661,DB00623,0,DB00722
DB00544,DB00316,1,DB01045
DB00906,DB01039,0,DB00796
DB01053,DB00381,0,DB00671
DB00747,DB00758,1,DB01193
DB00277,DB01126,0,DB00798
DB01167,DB00291,0,DB00252
DB01337,DB01008,0,DB01112
DB00413,DB00480,1,DB00468
DB00661,DB00214,1,DB00445
DB00877,DB01117,0,DB01112
DB01042,DB00983,0,DB00813
DB01210,DB00947,0,DB00373
DB00315,DB01264,0,DB00373
DB00303,DB00501,0,DB00717
DB00230,DB00619,1,DB00714
DB00996,DB01124,0,DB01416
DB01101,DB00863,1,DB00279
DB00998,DB00641,0,DB00906
DB00947,DB00448,1,DB00489
DB00448,DB00495,1,DB00672
DB00621,DB01242,0,DB00115
DB00808,DB00188,1,DB01162
DB00996,DB00697,1,DB00479
DB01114,DB00883,0,DB00264
DB00709,DB00669,0,DB00350
DB01151,DB00401,0,DB00541
DB00580,DB00196,1,DB00608
DB00968,DB00661,1,DB00433
DB01212,DB00316,1,DB00752
DB01032,DB00399,0,DB01004
DB00335,DB00641,1,DB00198
DB01167,DB00690,0,DB00330
DB00540,DB00650,0,DB00853
DB00458,DB00884,1,DB00442
DB00624,DB00770,1,DB00953
DB00307,DB00489,0,DB00242
DB00601,DB00443,1,DB00514
DB00277,DB00419,0,DB00252
DB01127,DB00485,0,DB00747
DB01229,DB00178,1,DB00356
DB00310,DB01611,0,DB01265
DB00798,DB00741,1,DB00968
DB00455,DB00184,1,DB01186
DB00727,DB01609,1,DB00783
DB00582,DB00559,1,DB00650
DB01197,DB00708,0,DB00535
DB00712,DB01008,0,DB01004
DB00333,DB01069,1,DB00296
DB00700,DB00280,0,DB00813
DB00497,DB00319,1,DB00996
DB00724,DB00484,0,DB01589
