Drug1_ID,Drug2_ID,Y,Neg samples
DB01085,DB00465,1,DB01162
DB01224,DB00590,1,DB00658
DB01242,DB00538,0,DB00881
DB00533,DB01085,1,DB00724
DB00543,DB00175,0,DB00433
DB00916,DB01202,1,DB01291
DB01236,DB01067,0,DB01076
DB00601,DB01044,1,DB00783
DB00540,DB00734,1,DB01126
DB00196,DB01188,1,DB00753
DB01032,DB00857,0,DB02300
DB00697,DB00912,0,DB00811
DB00727,DB01264,1,DB01155
DB00193,DB01595,0,DB00417
DB00630,DB00900,1,DB00952
DB00493,DB01181,0,DB00770
DB00455,DB00780,0,DB00341
DB00242,DB00989,0,DB00363
DB01249,DB00809,0,DB00700
DB00198,DB00277,0,DB00482
DB00533,DB00393,0,DB00757
DB00673,DB00918,0,DB00374
DB00374,DB00191,0,DB00811
DB00371,DB04441,0,DB00775
DB00809,DB00396,0,DB01085
DB00363,DB02379,0,DB00924
DB00514,DB00162,0,DB00495
DB01202,DB00622,0,DB01137
DB00413,DB00654,1,DB00880
DB00841,DB00316,1,DB00857
DB00181,DB00570,0,DB00188
DB01026,DB01264,0,DB00196
DB00398,DB00313,1,DB00292
DB00199,DB00191,0,DB00796
DB01042,DB00829,1,DB00918
DB00851,DB00377,1,DB00741
DB00441,DB00502,1,DB00727
DB00661,DB00381,1,DB00191
DB00454,DB00180,0,DB00472
DB00424,DB00482,1,DB00371
DB01167,DB01118,0,DB01041
DB00541,DB00390,1,DB00335
DB01047,DB01190,1,DB00198
DB00571,DB01156,1,DB02530
DB01197,DB00227,1,DB00496
DB00307,DB00622,0,DB00492
DB00718,DB01026,0,DB01006
DB00555,DB00745,1,DB01248
DB00586,DB01104,1,DB00873
DB01327,DB00804,0,DB00770
DB00530,DB01029,1,DB00356
DB00690,DB01241,0,DB00563
DB00285,DB01112,1,DB00570
DB00413,DB00531,0,DB00958
DB00321,DB00285,1,DB00642
DB01263,DB00863,0,DB00630
DB00822,DB00989,0,DB01609
DB00222,DB01032,0,DB00115
DB00524,DB00958,1,DB00209
DB00970,DB02379,0,DB00475
DB00213,DB00331,1,DB00804
DB01124,DB00198,0,DB00136
DB00343,DB00695,1,DB00541
DB00441,DB00749,1,DB00690
DB01275,DB00203,0,DB00426
DB00333,DB00669,0,DB01586
DB00519,DB00484,0,DB00794
DB01118,DB00737,0,DB00468
