Drug1_ID,Drug2_ID,Y,Neg samples
DB00887,DB01264,0,DB00798
DB00252,DB00450,1,DB00315
DB00717,DB01072,1,DB00742
DB00709,DB00654,0,DB08992
DB00864,DB00872,1,DB09220
DB00277,DB02703,1,DB00552
DB00332,DB11315,1,DB00290
DB00177,DB01136,1,DB01048
DB00960,DB00796,0,DB01106
DB01182,DB06636,1,DB00980
DB00601,DB01331,0,DB00571
DB00303,DB00796,0,DB00353
DB01029,DB00918,0,DB00609
DB00798,DB00833,1,DB01328
DB00649,DB01014,0,DB00806
DB00224,DB01263,0,DB00963
DB00816,DB09042,1,DB01440
DB00841,DB00619,0,DB06616
DB00768,DB01017,1,DB00480
DB00598,DB01364,1,DB01587
DB00603,DB04908,1,DB00999
DB00231,DB05271,1,DB00746
DB01265,DB00339,0,DB08906
DB00820,DB00903,1,DB08880
DB00862,DB01215,0,DB00196
DB00991,DB01082,1,DB09055
DB00705,DB06616,1,DB00781
DB00415,DB00332,0,DB00593
DB00397,DB00935,1,DB00596
DB00713,DB01083,0,DB01065
DB00718,DB01150,0,DB06589
DB00363,DB01206,1,DB01150
DB00969,DB00475,0,DB00696
DB00277,DB00319,0,DB01162
DB00268,DB00294,0,DB00480
DB00953,DB00524,0,DB04845
DB00601,DB00651,1,DB00820
DB00391,DB00496,1,DB00969
DB00842,DB00499,0,DB00769
DB00198,DB00446,0,DB00495
DB00334,DB06204,1,DB00207
DB00723,DB00841,1,DB01101
DB00415,DB00900,0,DB06282
DB01083,DB01202,1,DB00952
DB00747,DB01210,0,DB06527
DB00784,DB00798,1,DB00492
DB00440,DB00763,0,DB00173
DB01048,DB00668,0,DB00938
DB00844,DB01241,0,DB06413
DB00310,DB00945,1,DB01359
DB04835,DB09063,1,DB00150
DB00938,DB01072,1,DB00960
DB00180,DB00361,0,DB01416
DB00216,DB01232,1,DB08932
DB00531,DB01177,1,DB01248
DB00398,DB00844,0,DB00445
DB00363,DB00762,1,DB04339
DB00601,DB00278,0,DB00273
DB00754,DB01418,1,DB01072
DB00872,DB01221,1,DB00640
DB00224,DB01194,1,DB00519
DB00586,DB00211,0,DB04946
DB00285,DB00449,1,DB11093
DB01082,DB00358,0,DB00605
DB01048,DB00460,0,DB08439
DB00999,DB00970,0,DB01263
DB04817,DB04868,1,DB00233
DB02703,DB08932,1,DB00935
DB00390,DB09227,1,DB00724
DB00363,DB09073,1,DB00867
DB00503,DB04908,1,DB01595
DB01137,DB01410,0,DB01418
DB09118,DB09401,1,DB11256
DB01614,DB06684,1,DB01150
DB00343,DB00732,1,DB09183
DB01249,DB00332,0,DB01229
DB00356,DB00486,1,DB00687
DB00413,DB00583,0,DB01177
DB00153,DB00446,0,DB00928
DB01264,DB01590,1,DB00448
DB00199,DB00938,1,DB00688
DB00479,DB01609,0,DB00224
DB02300,DB00356,0,DB06603
DB00497,DB01021,1,DB00836
DB00320,DB03880,1,DB00862
DB00996,DB01017,1,DB00577
DB00921,DB00310,0,DB00524
DB00361,DB01072,0,DB01253
DB00279,DB00917,0,DB01112
DB01150,DB01189,0,DB00770
DB08820,DB09063,1,DB01280
DB01136,DB01392,1,DB00350
DB00554,DB01172,1,DB00290
DB00459,DB00880,0,DB01359
DB00410,DB00668,0,DB00549
DB00324,DB00448,0,DB00491
DB00328,DB00974,1,DB01440
DB00211,DB00588,1,DB00216
DB00765,DB00854,1,DB00512
DB00960,DB01072,0,DB05015
DB01397,DB01418,1,DB00717
DB00582,DB09227,1,DB09146
DB00246,DB06700,1,DB01249
DB00493,DB01095,0,DB01221
DB00188,DB01072,1,DB06813
DB01009,DB06813,1,DB00847
DB01172,DB00784,0,DB00338
DB00413,DB00660,1,DB01399
DB00851,DB00951,1,DB00833
DB00916,DB00873,0,DB00493
DB00493,DB01222,0,DB00681
DB00198,DB00216,0,DB00295
DB01030,DB01264,1,DB00999
DB00945,DB01033,0,DB01589
DB01558,DB05812,1,DB01139
DB00278,DB01189,0,DB00413
DB00320,DB01178,1,DB09079
DB00605,DB09214,1,DB08822
DB01036,DB00303,0,DB00544
DB00318,DB00501,1,DB01397
DB01198,DB06290,1,DB09209
DB00460,DB00261,0,DB00641
DB00343,DB01218,1,DB09288
DB00243,DB00537,1,DB00222
DB01129,DB01589,0,DB09146
DB00203,DB03880,1,DB00717
DB01130,DB01609,1,DB01215
DB01320,DB09074,1,DB01618
DB00696,DB01178,1,DB09059
DB00470,DB01364,1,DB01015
DB00593,DB05271,1,DB01207
DB01016,DB01621,1,DB01168
DB01197,DB00493,0,DB01062
