Drug1_ID,Drug2_ID,Y,Neg samples
DB00195,DB08881,1,DB09027
DB01194,DB01264,1,DB00903
DB00014,DB08893,1,DB00355
DB08932,DB09065,1,DB01190
DB00104,DB00318,1,DB01212
DB00390,DB09227,1,DB00724
DB01182,DB06636,1,DB00980
DB00199,DB00541,1,DB00335
DB08899,DB09071,1,DB00275
DB00705,DB00938,1,DB00327
DB00206,DB00333,1,DB00988
DB00959,DB01264,1,DB11181
DB00873,DB00983,0,DB00140
DB01215,DB01392,1,DB00841
DB00363,DB00976,1,DB06730
DB00216,DB01200,1,DB00768
DB00261,DB00859,0,DB00261
DB00181,DB00577,0,DB08872
DB00623,DB01238,1,DB01172
DB00784,DB01117,0,DB01280
DB00014,DB06335,1,DB00717
DB00479,DB00396,0,DB00288
DB01249,DB01016,0,DB00872
DB00320,DB05521,1,DB06826
DB01215,DB01229,0,DB09288
DB00838,DB09063,1,DB00570
DB00204,DB00199,0,DB00549
DB00186,DB00956,1,DB06616
DB00361,DB00296,0,DB09292
DB05246,DB06201,1,DB00834
DB01265,DB00969,0,DB00216
DB00503,DB01259,1,DB00126
DB00227,DB01263,1,DB00333
DB00887,DB01143,1,DB01181
DB01067,DB01251,1,DB01329
DB00713,DB09268,1,DB09570
DB00297,DB01362,0,DB01393
DB00775,DB03619,1,DB00211
DB00775,DB00410,0,DB00696
DB00104,DB00280,1,DB08934
DB01156,DB01362,0,DB00349
DB00390,DB08893,1,DB01189
DB01319,DB06237,1,DB00565
DB00181,DB00423,1,DB01330
DB00471,DB00613,1,DB01656
DB00952,DB00970,0,DB00136
DB00590,DB00862,1,DB01193
DB01249,DB00333,0,DB00440
DB00763,DB00960,0,DB00640
DB01023,DB01397,1,DB06441
DB00468,DB01320,1,DB00444
DB00206,DB01560,1,DB00291
DB01136,DB01182,1,DB00252
DB00983,DB09059,1,DB00260
DB00908,DB09027,1,DB01143
DB01203,DB00565,0,DB00264
DB06413,DB09073,1,DB00739
DB00718,DB00459,0,DB00461
DB00196,DB00717,1,DB00303
DB00350,DB00819,0,DB00917
DB00833,DB00330,0,DB05266
DB01016,DB04868,1,DB00928
DB00486,DB00598,1,DB06212
DB00309,DB01097,1,DB01284
DB00588,DB01072,1,DB09061
DB00322,DB00359,1,DB01014
DB01197,DB00714,0,DB06800
DB00747,DB00502,0,DB00912
DB06480,DB09039,1,DB06695
DB01264,DB04845,1,DB00763
DB00204,DB01406,1,DB08901
DB00542,DB00877,1,DB01020
DB00794,DB00916,1,DB00339
DB00512,DB00310,0,DB00196
DB00470,DB06702,1,DB01251
DB00252,DB01215,0,DB01004
DB00317,DB00927,1,DB00853
DB00945,DB01033,0,DB01589
DB01201,DB04908,1,DB08907
DB00530,DB01045,1,DB06710
DB00749,DB01275,1,DB00615
DB00795,DB00485,0,DB00654
DB01220,DB09102,1,DB00452
DB08881,DB09065,1,DB09285
DB00363,DB09073,1,DB00867
DB00252,DB01320,1,DB00686
DB00475,DB00502,0,DB00669
DB00627,DB00355,0,DB01111
DB00695,DB00917,0,DB09236
DB00007,DB08868,1,DB06781
DB00153,DB01014,0,DB00610
DB00502,DB00998,1,DB00877
DB00268,DB00671,0,DB01267
DB08820,DB09074,1,DB08930
DB00700,DB00496,0,DB00764
DB00449,DB01359,1,DB00732
DB00586,DB01014,1,DB00438
DB05521,DB06589,1,DB00482
DB00969,DB00188,0,DB00581
DB00627,DB01249,0,DB00769
DB00443,DB01264,0,DB04817
DB01590,DB09291,1,DB01203
DB00921,DB01241,0,DB00230
DB00199,DB01198,1,DB01048
DB00605,DB01254,1,DB09274
DB00353,DB09065,1,DB00625
DB00278,DB00482,0,DB08912
DB00959,DB01251,1,DB06212
DB00619,DB00794,1,DB00642
DB01119,DB01251,1,DB00650
DB00502,DB00669,1,DB01511
DB00728,DB00955,1,DB00178
DB00612,DB00199,0,DB00542
DB00559,DB09143,1,DB00500
DB00252,DB00557,1,DB00400
DB00358,DB00620,0,DB01009
